utterance,speaker,gender,session,emotion
Ses01F_impro01_F000,01F,F,01,N
Ses01F_impro01_F001,01F,F,01,N
Ses01F_impro01_F002,01F,F,01,N
Ses01F_impro01_F005,01F,F,01,N
Ses01F_impro01_F012,01F,F,01,A
Ses01F_impro01_F014,01F,F,01,N
Ses01F_impro01_M011,01F,F,01,A
Ses01F_impro01_M013,01F,F,01,A
Ses01F_impro02_F000,01F,F,01,S
Ses01F_impro02_F001,01F,F,01,S
Ses01F_impro02_F002,01F,F,01,S
Ses01F_impro02_F003,01F,F,01,N
Ses01F_impro02_F004,01F,F,01,S
Ses01F_impro02_F005,01F,F,01,S
Ses01F_impro02_F006,01F,F,01,N
Ses01F_impro02_F008,01F,F,01,S
Ses01F_impro02_F010,01F,F,01,S
Ses01F_impro02_F012,01F,F,01,S
Ses01F_impro02_F013,01F,F,01,S
Ses01F_impro02_F014,01F,F,01,S
Ses01F_impro02_F015,01F,F,01,S
Ses01F_impro02_F016,01F,F,01,N
Ses01F_impro02_F017,01F,F,01,S
Ses01F_impro02_F018,01F,F,01,N
Ses01F_impro02_F019,01F,F,01,S
Ses01F_impro02_F020,01F,F,01,S
Ses01F_impro02_M001,01F,F,01,S
Ses01F_impro02_M005,01F,F,01,S
Ses01F_impro02_M009,01F,F,01,S
Ses01F_impro02_M010,01F,F,01,S
Ses01F_impro02_M011,01F,F,01,S
Ses01F_impro02_M012,01F,F,01,N
Ses01F_impro02_M013,01F,F,01,S
Ses01F_impro02_M014,01F,F,01,S
Ses01F_impro02_M015,01F,F,01,N
Ses01F_impro03_F000,01F,F,01,H
Ses01F_impro03_F001,01F,F,01,H
Ses01F_impro03_F002,01F,F,01,H
Ses01F_impro03_F004,01F,F,01,H
Ses01F_impro03_F005,01F,F,01,H
Ses01F_impro03_F006,01F,F,01,H
Ses01F_impro03_F008,01F,F,01,H
Ses01F_impro03_F009,01F,F,01,H
Ses01F_impro03_F010,01F,F,01,H
Ses01F_impro03_F012,01F,F,01,H
Ses01F_impro03_F013,01F,F,01,H
Ses01F_impro03_F015,01F,F,01,H
Ses01F_impro03_F016,01F,F,01,H
Ses01F_impro03_F017,01F,F,01,N
Ses01F_impro03_F018,01F,F,01,N
Ses01F_impro03_F019,01F,F,01,N
Ses01F_impro03_F021,01F,F,01,H
Ses01F_impro03_F022,01F,F,01,N
Ses01F_impro03_F023,01F,F,01,N
Ses01F_impro03_F024,01F,F,01,H
Ses01F_impro03_F025,01F,F,01,H
Ses01F_impro03_F026,01F,F,01,H
Ses01F_impro03_M000,01F,F,01,N
Ses01F_impro03_M001,01F,F,01,N
Ses01F_impro03_M003,01F,F,01,H
Ses01F_impro03_M006,01F,F,01,N
Ses01F_impro03_M007,01F,F,01,H
Ses01F_impro03_M008,01F,F,01,N
Ses01F_impro03_M009,01F,F,01,N
Ses01F_impro03_M011,01F,F,01,N
Ses01F_impro03_M013,01F,F,01,H
Ses01F_impro03_M014,01F,F,01,H
Ses01F_impro03_M015,01F,F,01,H
Ses01F_impro03_M016,01F,F,01,N
Ses01F_impro03_M019,01F,F,01,N
Ses01F_impro03_M020,01F,F,01,N
Ses01F_impro03_M021,01F,F,01,N
Ses01F_impro03_M022,01F,F,01,H
Ses01F_impro03_M023,01F,F,01,H
Ses01F_impro03_M024,01F,F,01,N
Ses01F_impro04_F000,01F,F,01,N
Ses01F_impro04_F001,01F,F,01,N
Ses01F_impro04_F005,01F,F,01,N
Ses01F_impro04_F006,01F,F,01,N
Ses01F_impro04_F009,01F,F,01,N
Ses01F_impro04_F013,01F,F,01,N
Ses01F_impro04_F014,01F,F,01,N
Ses01F_impro04_F028,01F,F,01,A
Ses01F_impro04_F029,01F,F,01,A
Ses01F_impro04_F030,01F,F,01,A
Ses01F_impro04_F031,01F,F,01,A
Ses01F_impro04_F032,01F,F,01,A
Ses01F_impro04_F033,01F,F,01,A
Ses01F_impro04_M000,01F,F,01,N
