utterance,speaker,gender,session,emotion
S01A-F01-P-FM01,F01,F,01,N
S01A-F01-P-FM02,F01,F,01,H
S01A-F01-P-MF01,F01,F,01,H
S01A-M01-P-FM01,M01,M,01,N
S01A-M01-P-FM02,M01,M,01,N
S01A-M01-P-MF01,M01,M,01,N
S01A-M01-P-MF02,M01,M,01,N
S01A-M01-P-MF03,M01,M,01,N
S01A-M01-R-MM01,M01,M,01,A
S01A-F01-S-FM01,F01,F,01,S
S01A-F01-S-FM02,F01,F,01,A
S01A-F01-S-FM03,F01,F,01,A
S01A-F01-S-FM04,F01,F,01,A
S01A-F01-S-FM06,F01,F,01,A
S01A-F01-S-MF02,F01,F,01,N
S01A-F01-S-MF03,F01,F,01,N
S01A-F01-S-MF04,F01,F,01,N
S01A-F01-S-MF05,F01,F,01,N
S01A-F01-S-MF06,F01,F,01,A
S01A-F01-S-MF07,F01,F,01,N
S01A-M01-S-FM01,M01,M,01,N
S01A-M01-S-FM02,M01,M,01,N
S01A-M01-S-FM03,M01,M,01,N
S01A-M01-S-FM04,M01,M,01,N
S01A-M01-S-FM05,M01,M,01,N
S01A-M01-S-FM06,M01,M,01,N
S01A-M01-S-MF02,M01,M,01,N
S01A-M01-S-MF03,M01,M,01,N
S01A-M01-S-MF04,M01,M,01,N
S01A-M01-S-MF05,M01,M,01,N
S01A-M01-S-MF06,M01,M,01,N
S01A-F01-T-FM01,F01,F,01,A
S01A-M01-T-MF01,M01,M,01,A
S01H-F01-P-FM02,F01,F,01,H
S01H-F01-P-FM03,F01,F,01,N
S01H-F01-P-MF01,F01,F,01,H
S01H-M01-P-FM01,M01,M,01,H
S01H-M01-R-MM01,M01,M,01,H
S01H-F01-S-FM01,F01,F,01,H
S01H-F01-S-FM02,F01,F,01,H
S01H-F01-S-MF01,F01,F,01,H
S01H-F01-S-MF02,F01,F,01,H
S01H-F01-S-MF03,F01,F,01,H
S01H-F01-S-MF04,F01,F,01,H
S01H-F01-S-MF05,F01,F,01,H
S01H-M01-S-FM01,M01,M,01,H
S01H-M01-S-FM02,M01,M,01,H
S01H-M01-S-MF01,M01,M,01,N
S01H-M01-S-MF02,M01,M,01,H
S01H-M01-S-MF03,M01,M,01,H
S01H-M01-S-MF04,M01,M,01,H
S01H-F01-T-FM01,F01,F,01,H
S01H-M01-T-MF01,M01,M,01,H
S01N-F01-P-FM01,F01,F,01,H
S01N-F01-P-FM02,F01,F,01,H
S01N-M01-P-FM01,M01,M,01,H
S01N-M01-P-FM02,M01,M,01,N
S01N-M01-P-FM03,M01,M,01,N
S01N-M01-R-MM01,M01,M,01,N
S01N-M01-R-MM02,M01,M,01,N
S01N-F01-S-FM01,F01,F,01,H
S01N-F01-S-FM02,F01,F,01,H
S01N-F01-S-FM04,F01,F,01,N
S01N-F01-S-MF01,F01,F,01,N
S01N-F01-S-MF02,F01,F,01,H
S01N-F01-S-MF03,F01,F,01,H
S01N-M01-S-FM01,M01,M,01,N
S01N-M01-S-FM02,M01,M,01,N
S01N-M01-S-FM03,M01,M,01,N
S01N-M01-S-FM04,M01,M,01,N
S01N-M01-S-FM05,M01,M,01,N
S01N-M01-S-FM06,M01,M,01,N
S01N-M01-S-MF01,M01,M,01,N
S01N-M01-S-MF02,M01,M,01,N
S01N-F01-T-FM01,F01,F,01,N
S01N-M01-T-MF01,M01,M,01,N
S01S-F01-P-FM01,F01,F,01,N
S01S-F01-P-FM02,F01,F,01,N
S01S-F01-P-MF01,F01,F,01,H
S01S-F01-P-MF02,F01,F,01,H
S01S-F01-P-MF03,F01,F,01,N
S01S-F01-P-MF04,F01,F,01,N
S01S-M01-P-MF01,M01,M,01,N
S01S-M01-P-MF02,M01,M,01,N
S01S-M01-P-MF03,M01,M,01,N
S01S-M01-P-MF04,M01,M,01,N
S01S-M01-R-MM01,M01,M,01,A
S01S-F01-S-FM01,F01,F,01,S
S01S-F01-S-FM02,F01,F,01,S
S01S-F01-S-FM03,F01,F,01,S
S01S-F01-S-MF01,F01,F,01,N
S01S-F01-S-MF02,F01,F,01,S
S01S-F01-S-MF04,F01,F,01,N
S01S-F01-S-MF05,F01,F,01,S
S01S-F01-S-MF06,F01,F,01,S
S01S-M01-S-FM02,M01,M,01,N
S01S-M01-S-FM03,M01,M,01,N
S01S-M01-S-MF01,M01,M,01,S
S01S-M01-S-MF02,M01,M,01,S
S01S-M01-S-MF03,M01,M,01,N
S01S-M01-S-MF04,M01,M,01,S
S01S-M01-S-MF05,M01,M,01,S
S01S-M01-S-MF06,M01,M,01,S
S01S-M01-T-MF01,M01,M,01,S
S02A-F01-P-FM01,F01,F,02,N
S02A-F01-P-FM02,F01,F,02,N
S02A-F01-P-FM03,F01,F,02,N
S02A-F01-P-FM04,F01,F,02,N
S02A-F01-P-FM05,F01,F,02,H
S02A-F01-P-FM06,F01,F,02,H
S02A-F01-P-MF01,F01,F,02,H
S02A-F01-P-MF02,F01,F,02,H
S02A-F01-P-MF03,F01,F,02,N
S02A-F01-P-MF04,F01,F,02,N
S02A-M01-P-FM01,M01,M,02,N
S02A-M01-P-FM02,M01,M,02,H
S02A-M01-P-MF01,M01,M,02,H
S02A-M01-P-MF02,M01,M,02,N
S02A-M01-P-MF03,M01,M,02,N
S02A-M01-R-MM01,M01,M,02,A
S02A-F01-S-FM01,F01,F,02,A
S02A-F01-S-FM02,F01,F,02,A
S02A-F01-S-FM03,F01,F,02,N
S02A-F01-S-FM05,F01,F,02,N
S02A-F01-S-MF01,F01,F,02,H
S02A-F01-S-MF02,F01,F,02,H
S02A-F01-S-MF03,F01,F,02,H
S02A-F01-S-MF04,F01,F,02,H
S02A-F01-S-MF05,F01,F,02,H
S02A-F01-S-MF06,F01,F,02,H
S02A-F01-S-MF09,F01,F,02,N
S02A-F01-S-MF11,F01,F,02,H
S02A-M01-S-FM01,M01,M,02,N
S02A-M01-S-FM03,M01,M,02,N
S02A-M01-S-FM04,M01,M,02,H
S02A-M01-S-FM05,M01,M,02,H
S02A-M01-S-FM06,M01,M,02,A
S02A-M01-S-MF01,M01,M,02,A
S02A-M01-S-MF02,M01,M,02,A
S02A-M01-S-MF03,M01,M,02,N
S02A-M01-S-MF04,M01,M,02,N
S02A-M01-S-MF05,M01,M,02,N
S02A-M01-S-MF06,M01,M,02,N
S02A-M01-S-MF07,M01,M,02,S
S02A-M01-S-MF08,M01,M,02,N
S02A-M01-S-MF09,M01,M,02,N
S02A-F01-T-FM01,F01,F,02,N
S02A-M01-T-MF01,M01,M,02,N
S02H-F01-P-FM01,F01,F,02,N
S02H-F01-P-FM02,F01,F,02,N
S02H-M01-P-FM01,M01,M,02,H
S02H-M01-P-MF01,M01,M,02,N
S02H-M01-P-MF02,M01,M,02,N
S02H-M01-R-MM01,M01,M,02,A
S02H-F01-S-FM01,F01,F,02,H
S02H-F01-S-FM02,F01,F,02,N
S02H-F01-S-FM03,F01,F,02,H
S02H-F01-S-MF01,F01,F,02,H
S02H-F01-S-MF02,F01,F,02,H
S02H-F01-S-MF03,F01,F,02,N
S02H-F01-S-MF04,F01,F,02,H
S02H-M01-S-FM01,M01,M,02,H
